iter	Logloss
0	0.6930271067
1	0.6929103319
2	0.6927940079
3	0.6926755596
4	0.6925736333
5	0.6924745177
6	0.692387823
7	0.6922992491
8	0.6922200541
9	0.6921569374
10	0.6920937093
11	0.6919984877
12	0.6919186403
13	0.6918405508
14	0.6917699153
15	0.6917209075
16	0.6916658537
17	0.6916046764
18	0.6915497649
19	0.6914785071
20	0.6914167329
21	0.6913726625
22	0.691319145
23	0.6912691784
24	0.6912083849
25	0.6911710783
26	0.6911178969
27	0.691069293
28	0.6910076332
29	0.6909646154
30	0.690937064
31	0.6908989196
32	0.6908633866
33	0.6908187557
34	0.6907708322
35	0.6907248715
36	0.6906745311
37	0.6906367242
38	0.6906045315
39	0.6905713552
40	0.6905407528
41	0.6905187307
42	0.6904866608
43	0.690451811
44	0.6904249994
45	0.6903865323
46	0.6903531084
47	0.6903288794
48	0.6903034662
49	0.6902640571
50	0.6902622906
51	0.6902280094
52	0.6901948778
53	0.6901676053
54	0.690131888
55	0.6900954183
56	0.6900620796
57	0.6900622312
58	0.6900362004
59	0.6900067315
60	0.6899849285
61	0.6899607018
62	0.6899414474
63	0.6899144174
64	0.6898916843
65	0.6898722541
66	0.6898451804
67	0.6898079715
68	0.6897918475
69	0.689754468
70	0.6897205437
71	0.6897006821
72	0.6896805344
73	0.6896581422
74	0.6896439912
75	0.6896200038
76	0.6896007409
77	0.6895786361
78	0.6895516
79	0.6895253929
80	0.6895012992
81	0.689481485
82	0.6894601941
83	0.6894312219
84	0.6894106439
85	0.6893836302
86	0.6893558779
87	0.6893481055
88	0.6893254392
89	0.6893006517
90	0.6892780259
91	0.689254775
92	0.689225331
93	0.6892126694
94	0.6891931967
95	0.6891591862
96	0.6891418944
97	0.6891193082
98	0.689111519
99	0.6890885577
100	0.6890664803
101	0.689052804
102	0.6890364557
103	0.6890172611
104	0.6889996406
105	0.6889752443
106	0.6889566161
107	0.6889382703
108	0.6889217365
109	0.688909745
110	0.6888943948
111	0.6888728394
112	0.6888576172
113	0.6888416349
114	0.6888265209
115	0.6888019226
116	0.6887893689
117	0.6887729767
118	0.6887573368
119	0.6887367762
120	0.6887217393
121	0.6887056111
122	0.6886969767
123	0.6886828628
124	0.6886648488
125	0.6886462297
126	0.6886348249
127	0.6886340916
128	0.6886141075
129	0.6885994242
130	0.6885748547
131	0.6885631053
132	0.6885475333
133	0.6885324085
134	0.6885151975
135	0.6885025119
136	0.6884868365
137	0.6884704013
138	0.6884572957
139	0.6884435204
140	0.6884235375
141	0.6884106427
142	0.6883990002
143	0.6883821299
144	0.6883563697
145	0.6883334737
146	0.6883165378
147	0.688302056
148	0.6882881406
149	0.6882787159
150	0.6882676101
151	0.6882556233
152	0.6882484882
153	0.6882343956
154	0.6882193098
155	0.6882029393
156	0.6881939151
157	0.6881750234
158	0.6881505146
159	0.6881295079
160	0.6881139656
161	0.6880955127
162	0.6880722462
163	0.6880542918
164	0.6880409046
165	0.6880265971
166	0.6880119434
167	0.6879911046
168	0.6879841512
169	0.6879715286
170	0.6879582315
171	0.6879417283
172	0.687931971
173	0.6879140213
174	0.6879020566
175	0.687888198
176	0.6878792745
177	0.687869139
178	0.687848413
179	0.687841208
180	0.6878219824
181	0.6878091675
182	0.6877987361
183	0.6877895079
184	0.6877649243
185	0.6877551651
186	0.6877448179
187	0.6877294521
188	0.6877153359
189	0.6877064763
190	0.6876886864
191	0.6876703912
192	0.6876515472
193	0.6876329744
194	0.687621522
195	0.687610971
196	0.6876017112
197	0.6875938076
198	0.6875840886
199	0.6875721338
200	0.6875627476
201	0.6875462613
202	0.6875332556
203	0.6875122877
204	0.6875043918
205	0.6874859685
206	0.6874701755
207	0.6874579314
208	0.6874402852
209	0.6874286667
210	0.6874094879
211	0.6873909196
212	0.687375341
213	0.6873664573
214	0.6873500719
215	0.6873310105
216	0.6873201909
217	0.6873089026
218	0.6873003939
219	0.6872852883
220	0.6872747637
221	0.6872597285
222	0.6872434093
223	0.6872343202
224	0.687223444
225	0.6872123057
226	0.6871998547
227	0.6871856564
228	0.6871774572
229	0.6871683495
230	0.6871573801
231	0.6871340721
232	0.6871174069
233	0.6871040262
234	0.687103673
235	0.6870935853
236	0.6870843513
237	0.6870717253
238	0.6870550158
239	0.6870396769
240	0.6870342466
241	0.6870231268
242	0.6870152336
243	0.6869890186
244	0.6869829624
245	0.6869725086
246	0.686956667
247	0.6869388674
248	0.6869236827
249	0.6869146351
250	0.6869004506
251	0.6868805172
252	0.6868685985
253	0.6868555473
254	0.6868478505
255	0.6868384555
256	0.6868199627
257	0.6868074638
258	0.6867938957
259	0.6867814334
260	0.6867696944
261	0.6867633358
262	0.6867530186
263	0.6867294348
264	0.6867163141
265	0.6867059489
266	0.6866851804
267	0.6866764142
268	0.6866646258
269	0.6866521712
270	0.6866393349
271	0.6866316473
272	0.6866160341
273	0.6865987771
274	0.6865891361
275	0.6865802256
276	0.6865701254
277	0.6865535901
278	0.6865325611
279	0.6865182056
280	0.6865071548
281	0.6864911882
282	0.6864773922
283	0.6864655868
284	0.6864516577
285	0.6864414189
286	0.6864283639
287	0.6864283444
288	0.6864180404
289	0.6864073502
290	0.6863944306
291	0.6863796436
292	0.6863681111
293	0.686348436
294	0.6863364198
295	0.686327456
296	0.6863091726
297	0.6862949861
298	0.6862824668
299	0.6862770101
300	0.686269247
301	0.6862512636
302	0.6862396594
303	0.6862276244
304	0.6862103634
305	0.6861985265
306	0.6861889721
307	0.6861770133
308	0.6861657593
309	0.6861527856
310	0.6861527583
311	0.6861460589
312	0.6861371871
313	0.6861300399
314	0.6861099708
315	0.6860967629
316	0.6860815317
317	0.6860737441
318	0.6860618537
319	0.6860467997
320	0.6860289699
321	0.6860126813
322	0.685999433
323	0.6859778674
324	0.6859666868
325	0.6859548525
326	0.6859366663
327	0.685918453
328	0.6859052818
329	0.6858921871
330	0.6858737237
331	0.6858633033
332	0.6858452964
333	0.6858341418
334	0.6858142689
335	0.6857998151
336	0.6857881624
337	0.6857732894
338	0.6857607965
339	0.6857439031
340	0.6857270503
341	0.6857142268
342	0.685693961
343	0.685676457
344	0.6856659246
345	0.6856524963
346	0.685636831
347	0.6856275381
348	0.6856120726
349	0.6855986911
350	0.6855978257
351	0.685585117
352	0.6855667575
353	0.6855546706
354	0.6855393474
355	0.6855182189
356	0.6855015876
357	0.6854893876
358	0.6854801025
359	0.6854675635
360	0.685450673
361	0.6854358708
362	0.6854235665
363	0.6854109415
364	0.6854101694
365	0.6854001542
366	0.6853910037
367	0.6853769514
368	0.6853644787
369	0.6853459747
370	0.685330618
371	0.68531937
372	0.6853083847
373	0.6852887527
374	0.6852712106
375	0.6852468273
376	0.6852337886
377	0.6852182586
378	0.6852106547
379	0.6851962888
380	0.6851867116
381	0.6851756232
382	0.6851615481
383	0.6851491955
384	0.6851387408
385	0.6851186133
386	0.6851017841
387	0.6850854537
388	0.6850659816
389	0.6850518267
390	0.685041195
391	0.6850244509
392	0.685003508
393	0.6849885281
394	0.6849741056
395	0.6849629967
396	0.6849500615
397	0.6849310427
398	0.6849153083
399	0.684904406
400	0.6848847528
401	0.6848780564
402	0.6848632247
403	0.6848529576
404	0.684837626
405	0.6848281108
406	0.684812693
407	0.6847936661
408	0.6847845083
409	0.6847737178
410	0.6847596491
411	0.6847464694
412	0.6847349743
413	0.6847268543
414	0.6847121565
415	0.6846961153
416	0.6846820566
417	0.6846720145
418	0.6846603998
419	0.6846442827
420	0.6846277971
421	0.6846172221
422	0.6846171987
423	0.6846037324
424	0.6845884409
425	0.6845686722
426	0.6845572433
427	0.6845436335
428	0.684529847
429	0.6845162417
430	0.6844990749
431	0.6844811492
432	0.6844648005
433	0.68445505
434	0.6844442893
435	0.684425288
436	0.6844028783
437	0.6843870466
438	0.6843697075
439	0.6843528753
440	0.6843409324
441	0.6843310267
442	0.6843234132
443	0.6843128849
444	0.6842993928
445	0.6842882036
446	0.6842789458
447	0.6842623458
448	0.684251149
449	0.684240813
450	0.6842185278
451	0.6842104632
452	0.6842037167
453	0.6841932949
454	0.6841803923
455	0.6841658449
456	0.6841550793
457	0.6841376202
458	0.6841244122
459	0.6841111345
460	0.6840977474
461	0.6840855251
462	0.684073127
463	0.6840604617
464	0.6840478234
465	0.6840328591
466	0.6840237424
467	0.6840100515
468	0.6839997415
469	0.683985937
470	0.6839708246
471	0.68395464
472	0.6839351905
473	0.6839230888
474	0.6839130129
475	0.6839063869
476	0.6838906108
477	0.6838779571
478	0.6838608427
479	0.683853168
480	0.6838399224
481	0.6838253733
482	0.6838156404
483	0.6837951106
484	0.6837847641
485	0.6837681374
486	0.6837548831
487	0.683740163
488	0.6837263354
489	0.6837129556
490	0.6837073524
491	0.6836935946
492	0.6836787635
493	0.6836660973
494	0.6836486665
495	0.6836330483
496	0.6836208056
497	0.6836033473
498	0.6835980471
499	0.6835827219
500	0.6835658197
501	0.6835513926
502	0.6835440577
503	0.6835407706
504	0.6835303438
505	0.6835197912
506	0.6835123816
507	0.6834947604
508	0.6834857424
509	0.6834732007
510	0.6834603948
511	0.6834495071
512	0.6834313248
513	0.683415484
514	0.6834002623
515	0.6833893428
516	0.6833780989
517	0.683362657
518	0.6833547865
519	0.6833452974
520	0.683337471
521	0.6833252385
522	0.683312252
523	0.683302377
524	0.6832785056
525	0.6832629366
526	0.6832515476
527	0.6832358187
528	0.6832251609
529	0.6832146187
530	0.6831995881
531	0.683188838
532	0.6831797443
533	0.6831697807
534	0.6831601606
535	0.6831466397
536	0.683128351
537	0.6831164714
538	0.68309819
539	0.6830875761
540	0.6830767909
541	0.6830665115
542	0.6830534801
543	0.6830400894
544	0.6830292474
545	0.6830218653
546	0.6830149961
547	0.6830033934
548	0.6829890473
549	0.6829811356
550	0.682962248
551	0.6829514528
552	0.6829408883
553	0.6829303493
554	0.68292344
555	0.6829111422
556	0.682903093
557	0.6828922055
558	0.682883276
559	0.6828643362
560	0.6828587496
561	0.6828506375
562	0.6828343786
563	0.6828229169
564	0.6828078026
565	0.6827946752
566	0.682777216
567	0.6827668683
568	0.6827543038
569	0.6827451917
570	0.6827299145
571	0.682719482
572	0.6827087078
573	0.6827014359
574	0.6826934599
575	0.6826824538
576	0.6826731289
577	0.6826547022
578	0.6826374149
579	0.6826236229
580	0.6826145155
581	0.6826030868
582	0.6825909908
583	0.6825768387
584	0.6825602658
585	0.6825470358
586	0.682533259
587	0.6825241233
588	0.6825169097
589	0.6825047875
590	0.682496503
591	0.6824850601
592	0.6824734482
593	0.6824634081
594	0.6824449401
595	0.6824365951
596	0.6824294402
597	0.6824198347
598	0.6824076834
599	0.6823981607
600	0.6823825844
601	0.6823750777
602	0.6823654676
603	0.6823528911
604	0.6823396944
605	0.6823266275
606	0.6823184208
607	0.6823045106
608	0.6822948379
609	0.6822807295
610	0.6822676084
611	0.6822542085
612	0.6822383649
613	0.6822303959
614	0.6822179178
615	0.6822069161
616	0.6821962155
617	0.6821895641
618	0.682175488
619	0.6821744234
620	0.6821631157
621	0.6821542116
622	0.6821398498
623	0.6821289361
624	0.6821192691
625	0.6821066009
626	0.6820939871
627	0.6820853835
628	0.6820759393
629	0.6820696899
630	0.6820576853
631	0.6820455095
632	0.6820353196
633	0.6820215243
634	0.6820144622
635	0.6819981479
636	0.6819892747
637	0.6819798104
638	0.6819727683
639	0.6819609134
640	0.6819451
641	0.6819359086
642	0.681927758
643	0.6819192063
644	0.6819050734
645	0.6818937771
646	0.6818767965
647	0.681866367
648	0.6818520288
649	0.6818425185
650	0.6818335001
651	0.6818175794
652	0.6818064666
653	0.6818038937
654	0.6817956214
655	0.681783726
656	0.681778033
657	0.6817658555
658	0.6817535232
659	0.681736906
660	0.6817271872
661	0.6817177456
662	0.6817039649
663	0.6817015085
664	0.6816920829
665	0.6816829798
666	0.6816736896
667	0.6816648891
668	0.6816551652
669	0.6816464361
670	0.6816319787
671	0.6816182167
672	0.6816074605
673	0.6815950535
674	0.6815845787
675	0.6815751944
676	0.6815692737
677	0.6815551338
678	0.6815424173
679	0.6815342296
680	0.6815250802
681	0.6815151682
682	0.6815018173
683	0.6814934172
684	0.6814798397
685	0.6814649448
686	0.6814557769
687	0.6814455555
688	0.6814423879
689	0.6814340077
690	0.6814260225
691	0.681407205
692	0.681398706
693	0.6813887096
694	0.6813773967
695	0.6813659235
696	0.6813508126
697	0.6813346416
698	0.6813262983
699	0.6813167691
700	0.6813045158
701	0.681290582
702	0.6812835572
703	0.6812678167
704	0.681259538
705	0.681246718
706	0.6812318395
707	0.6812140887
708	0.681204986
709	0.6811912401
710	0.6811749061
711	0.6811643347
712	0.6811528018
713	0.6811360285
714	0.6811222965
715	0.6811118681
716	0.6811016543
717	0.6810955342
718	0.6810833105
719	0.681071714
720	0.6810600796
721	0.6810515897
722	0.6810406989
723	0.6810339623
724	0.6810205949
725	0.681008885
726	0.6810011766
727	0.6809858494
728	0.6809781944
729	0.6809612728
730	0.680948363
731	0.6809359929
732	0.6809259039
733	0.6809125787
734	0.6809032765
735	0.6808919824
736	0.6808852312
737	0.6808797976
738	0.6808685471
739	0.6808560109
740	0.6808458234
741	0.6808311689
742	0.6808267993
743	0.6808129511
744	0.6808026688
745	0.6807921207
746	0.6807825483
747	0.680771015
748	0.6807612181
749	0.6807425953
750	0.6807290887
751	0.6807180905
752	0.6807120891
753	0.680701944
754	0.6806947031
755	0.6806783575
756	0.6806693794
757	0.6806530241
758	0.6806419165
759	0.6806304557
760	0.6806194938
761	0.6806103164
762	0.6806023235
763	0.6805945318
764	0.6805859122
765	0.6805779032
766	0.6805683495
767	0.6805598074
768	0.6805541055
769	0.6805408734
770	0.6805285675
771	0.6805105423
772	0.6805001104
773	0.6804935807
774	0.6804782516
775	0.6804676373
776	0.6804618095
777	0.6804526332
778	0.6804430904
779	0.680432399
780	0.6804192427
781	0.680409364
782	0.6804024921
783	0.6803943977
784	0.680383389
785	0.680376259
786	0.6803703299
787	0.680361839
788	0.6803566873
789	0.6803483642
790	0.6803411414
791	0.6803355649
792	0.6803245548
793	0.6803142017
794	0.680304975
795	0.6802899937
796	0.6802800468
797	0.6802672469
798	0.6802592752
799	0.6802452337
800	0.6802352609
801	0.6802306366
802	0.6802227731
803	0.6802085842
804	0.6801998168
805	0.6801846828
806	0.6801719942
807	0.6801614235
808	0.6801520657
809	0.6801373257
810	0.6801264097
811	0.6801092125
812	0.680098295
813	0.6800880133
814	0.680078929
815	0.6800714249
816	0.6800589821
817	0.6800411229
818	0.6800298864
819	0.680018206
820	0.6800081985
821	0.6799989425
822	0.679989439
823	0.679980405
824	0.679965492
825	0.6799556237
826	0.679947963
827	0.6799407535
828	0.6799290491
829	0.6799245657
830	0.6799171469
831	0.6799100581
832	0.6799042166
833	0.6798919042
