iter	Passed	Remaining
0	31	33190
1	63	33064
2	93	32485
3	125	32724
4	158	33069
5	195	33876
6	225	33434
7	256	33307
8	286	33048
9	315	32681
10	340	32076
11	367	31638
12	394	31352
13	429	31671
14	459	31569
15	489	31519
16	520	31513
17	548	31343
18	579	31347
19	609	31272
20	637	31139
21	667	31082
22	703	31284
23	733	31232
24	763	31169
25	792	31084
26	820	30961
27	849	30879
28	880	30868
29	909	30791
30	938	30728
31	971	30778
32	1001	30742
33	1033	30755
34	1059	30594
35	1088	30551
36	1117	30479
37	1153	30594
38	1182	30538
39	1208	30387
40	1237	30338
41	1269	30354
42	1305	30453
43	1333	30371
44	1362	30311
45	1390	30230
46	1418	30141
47	1445	30054
48	1471	29930
49	1505	29990
50	1522	29704
51	1550	29644
52	1581	29627
53	1608	29549
54	1637	29501
55	1666	29459
56	1695	29422
57	1708	29106
58	1740	29122
59	1776	29186
60	1806	29168
61	1838	29178
62	1866	29130
63	1897	29108
64	1926	29074
65	1955	29031
66	1983	28985
67	2014	28973
68	2046	28984
69	2077	28965
70	2111	28991
71	2142	28976
72	2170	28930
73	2200	28898
74	2228	28849
75	2256	28794
76	2286	28777
77	2321	28809
78	2353	28811
79	2383	28782
80	2412	28741
81	2440	28692
82	2470	28664
83	2498	28610
84	2529	28595
85	2561	28594
86	2589	28544
87	2619	28516
88	2650	28496
89	2675	28414
90	2704	28384
91	2734	28357
92	2762	28306
93	2791	28271
94	2826	28298
95	2856	28272
96	2887	28252
97	2917	28225
98	2944	28168
99	2973	28133
100	3001	28087
101	3029	28034
102	3064	28053
103	3098	28068
104	3129	28046
105	3161	28037
106	3190	28000
107	3219	27958
108	3249	27936
109	3278	27896
110	3307	27863
111	3340	27855
112	3372	27847
113	3403	27823
114	3432	27787
115	3457	27718
116	3486	27682
117	3515	27651
118	3543	27600
119	3571	27562
120	3604	27557
121	3635	27537
122	3665	27508
123	3692	27456
124	3721	27422
125	3748	27371
126	3776	27327
127	3791	27189
128	3818	27142
129	3848	27116
130	3887	27153
131	3916	27115
132	3946	27094
133	3979	27083
134	4004	27025
135	4034	26993
136	4063	26959
137	4093	26934
138	4126	26929
139	4159	26921
140	4192	26909
141	4220	26865
142	4248	26827
143	4275	26782
144	4304	26745
145	4333	26711
146	4364	26690
147	4395	26667
148	4425	26644
149	4455	26614
150	4484	26578
151	4512	26538
152	4539	26492
153	4567	26455
154	4595	26419
155	4624	26385
156	4655	26360
157	4688	26348
158	4715	26306
159	4747	26290
160	4776	26256
161	4804	26214
162	4832	26180
163	4863	26156
164	4890	26114
165	4921	26091
166	4953	26072
167	4983	26042
168	5012	26011
169	5040	25971
